dataset_id,indicator_id,academic_year,academic_year_start,academic_year_end,university_area,sex,first_year_enrolments,unit,source,notes
university_mur_ustat,university_first_year_enrolments,2021/2022,2021,2022,Bergamo,Male,1637,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2021/2022,2021,2022,Bergamo,Total,4037,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2022/2023,2022,2023,Altro Italia,Female,340438,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2022/2023,2022,2023,Altro Italia,Male,273841,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2022/2023,2022,2023,Altro Italia,Total,614279,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2022/2023,2022,2023,Altro Lombardia,Female,31288,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2022/2023,2022,2023,Altro Lombardia,Male,26554,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2022/2023,2022,2023,Altro Lombardia,Total,57842,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2022/2023,2022,2023,Bergamo,Female,2522,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2022/2023,2022,2023,Bergamo,Male,1775,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2022/2023,2022,2023,Bergamo,Total,4297,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2023/2024,2023,2024,Altro Italia,Female,356258,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2023/2024,2023,2024,Altro Italia,Male,282547,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2023/2024,2023,2024,Altro Italia,Total,638805,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
